Min_Energy_Thresh_F,Max_Energy_Thresh_F,Min_Energy_Thresh_M,Max_Energy_Thresh_M,Foraging_Condition_Mean,Foraging_Condition_SD,Foraging_Condition_Kick,Egg_Neglect_Max,Did_Hatch,N,End_Energy_F,Mean_Energy_F,Var_Energy_F,End_Energy_M,Mean_Energy_M,Var_Energy_M,Total_Neglect,Max_Neglect,Season_Length,Scaled_Entropy,Scaled_Entropy_N_Adjusted
400,700,400,700,160,47,0,2,TRUE,505,592.885697029703,661.1588930693069,8948.599366336633,599.9449841584159,655.2073861386139,8075.5025544554455,0.7485148514851485,0.5663366336633663,38.225742574257424,0.6444452745732593,0.6610029837229807
400,700,400,700,160,47,0,2,FALSE,495,600.807193939394,606.3962262626262,12006.79591919192,607.3918080808081,603.4854222222223,11727.129919191919,7.42020202020202,5.5353535353535355,48.06666666666667,0.8890570423165252,1.0543340276174271
400,700,400,700,160,47,0,3,TRUE,599,587.7586143572621,651.4904724540902,9765.887462437395,596.0013522537563,645.5150550918197,8652.754340567613,1.3005008347245408,0.9782971619365609,39.095158597662774,0.6780532835184577,0.7067724910776639
400,700,400,700,160,47,0,3,FALSE,401,597.2165810473815,603.3169800498753,12097.079750623441,596.6926458852868,603.7803591022443,11217.979800498753,8.174563591022444,6.224438902743142,49.15960099750623,0.9035673224076292,1.0871113338392526
400,700,400,700,160,47,0,4,TRUE,677,599.0432954209749,646.1200443131462,9818.574859675036,587.2803161004431,640.2529231905465,9235.368508124076,2.090103397341211,1.4933530280649927,40.27326440177253,0.7107430686075475,0.7564837611789104
400,700,400,700,160,47,0,4,FALSE,323,606.5651455108359,604.9704551083591,12010.876315789474,601.3280866873065,601.0947554179567,11778.408173374613,9.238390092879257,6.953560371517028,50.69969040247678,0.9193893634701212,1.1263004918614978
400,700,400,700,160,47,0,5,TRUE,784,593.7328099489796,641.7584158163265,10097.833571428571,590.4740765306123,635.1570510204082,9375.15806122449,2.4489795918367347,1.8010204081632653,40.81887755102041,0.7257153586207271,0.7802234966624211
400,700,400,700,160,47,0,5,FALSE,216,602.5628888888889,600.1680787037037,12320.686157407408,627.8429953703703,597.599125,11866.577037037037,10.319444444444445,7.712962962962963,52.08796296296296,0.9311053459682521,1.1633666425424725
400,700,400,700,160,47,0,6,TRUE,852,597.7987276995306,641.0640164319249,10158.526690140845,593.5956103286385,633.9582546948357,9337.528873239437,2.90962441314554,2.1384976525821595,41.487089201877936,0.7369377513003121,0.8016156237699117
400,700,400,700,160,47,0,6,FALSE,148,616.7941891891892,599.2637027027027,12707.670337837837,626.3455405405406,599.4965878378379,12810.01864864865,11.263513513513514,8.52027027027027,53.391891891891895,0.9395124046976412,1.1924944509221342
