Min_Energy_Thresh_F,Max_Energy_Thresh_F,Min_Energy_Thresh_M,Max_Energy_Thresh_M,Foraging_Condition_Mean,Foraging_Condition_SD,Foraging_Condition_Kick,Success,Fail_Dead_Parent,Fail_Egg_Neglect_Max,Fail_Egg_Neglect_Cumulative
200,400,200,1000,140,47,1,0.001,0.793,0.202,0.004
200,400,200,1000,150,47,0,0.526,0.019,0.426,0.029
200,400,200,1000,150,47,1,0.088,0.628,0.265,0.019
200,400,200,1000,160,47,0,0.912,0.001,0.087,0
200,400,200,1000,160,47,1,0.365,0.448,0.176,0.011
200,400,200,1000,170,47,0,0.998,0,0.002,0
200,400,200,1000,170,47,1,0.667,0.27,0.063,0
200,400,300,400,130,47,0,0.038,0.375,0.555,0.032
200,400,300,400,130,47,1,0.002,0.951,0.046,0.001
200,400,300,400,140,47,0,0.417,0.062,0.423,0.098
200,400,300,400,140,47,1,0.05,0.728,0.197,0.025
200,400,300,400,150,47,0,0.899,0.006,0.077,0.018
200,400,300,400,150,47,1,0.404,0.412,0.157,0.027
200,400,300,400,160,47,0,0.997,0,0.003,0
200,400,300,400,160,47,1,0.844,0.139,0.017,0
200,400,300,400,170,47,0,1,0,0,0
200,400,300,400,170,47,1,0.961,0.038,0.001,0
200,400,300,500,130,47,0,0.022,0.377,0.586,0.015
200,400,300,500,130,47,1,0,0.94,0.06,0
200,400,300,500,140,47,0,0.32,0.06,0.582,0.038
200,400,300,500,140,47,1,0.035,0.705,0.249,0.011
200,400,300,500,150,47,0,0.843,0.006,0.138,0.013
200,400,300,500,150,47,1,0.338,0.352,0.29,0.02
200,400,300,500,160,47,0,0.995,0,0.005,0
200,400,300,500,160,47,1,0.785,0.129,0.083,0.003
200,400,300,500,170,47,0,1,0,0,0
200,400,300,500,170,47,1,0.965,0.031,0.004,0
