Min_Energy_Thresh_F,Max_Energy_Thresh_F,Min_Energy_Thresh_M,Max_Energy_Thresh_M,Foraging_Condition_Mean,Foraging_Condition_SD,Foraging_Condition_Kick,Success,Fail_Dead_Parent,Fail_Egg_Neglect_Max,Fail_Egg_Neglect_Cumulative
200,400,200,500,170,47,1,0.998,0,0.002,0
200,400,200,600,130,47,0,0.021,0.39,0.584,0.005
200,400,200,600,130,47,1,0.004,0.808,0.188,0
200,400,200,600,140,47,0,0.285,0.105,0.59,0.02
200,400,200,600,140,47,1,0.067,0.416,0.512,0.005
200,400,200,600,150,47,0,0.797,0.007,0.189,0.007
200,400,200,600,150,47,1,0.506,0.12,0.367,0.007
200,400,200,600,160,47,0,0.988,0.001,0.011,0
200,400,200,600,160,47,1,0.909,0.021,0.07,0
200,400,200,600,170,47,0,1,0,0,0
200,400,200,600,170,47,1,0.994,0.001,0.005,0
200,400,200,700,130,47,0,0.008,0.415,0.577,0
200,400,200,700,130,47,1,0,0.829,0.171,0
200,400,200,700,140,47,0,0.234,0.107,0.637,0.022
200,400,200,700,140,47,1,0.045,0.498,0.45,0.007
200,400,200,700,150,47,0,0.763,0.007,0.218,0.012
200,400,200,700,150,47,1,0.401,0.191,0.393,0.015
200,400,200,700,160,47,0,0.978,0.002,0.02,0
200,400,200,700,160,47,1,0.831,0.045,0.123,0.001
200,400,200,700,170,47,0,0.999,0,0.001,0
200,400,200,700,170,47,1,0.979,0.009,0.012,0
200,400,200,800,130,47,0,0.01,0.392,0.597,0.001
200,400,200,800,130,47,1,0.002,0.81,0.188,0
200,400,200,800,140,47,0,0.187,0.091,0.704,0.018
200,400,200,800,140,47,1,0.036,0.502,0.459,0.003
200,400,200,800,150,47,0,0.676,0.017,0.295,0.012
200,400,200,800,150,47,1,0.311,0.244,0.429,0.016
200,400,200,800,160,47,0,0.965,0.003,0.032,0
200,400,200,800,160,47,1,0.748,0.087,0.164,0.001
200,400,200,800,170,47,0,1,0,0,0
200,400,200,800,170,47,1,0.966,0.015,0.019,0
200,400,200,900,130,47,0,0.007,0.404,0.586,0.003
200,400,200,900,130,47,1,0,0.813,0.187,0
200,400,200,900,140,47,0,0.126,0.104,0.753,0.017
200,400,200,900,140,47,1,0.021,0.511,0.463,0.005
200,400,200,900,150,47,0,0.639,0.011,0.334,0.016
200,400,200,900,150,47,1,0.239,0.292,0.438,0.031
200,400,200,900,160,47,0,0.941,0.001,0.056,0.002
200,400,200,900,160,47,1,0.692,0.112,0.19,0.006
200,400,200,900,170,47,0,0.998,0,0.002,0
200,400,200,900,170,47,1,0.926,0.047,0.027,0
200,400,200,1000,130,47,0,0.011,0.363,0.623,0.003
200,400,200,1000,130,47,1,0.002,0.796,0.202,0
200,400,200,1000,140,47,0,0.117,0.111,0.748,0.024
200,400,200,1000,140,47,1,0.02,0.509,0.452,0.019
200,400,200,1000,150,47,0,0.566,0.009,0.399,0.026
200,400,200,1000,150,47,1,0.219,0.263,0.495,0.023
200,400,200,1000,160,47,0,0.927,0.001,0.07,0.002
200,400,200,1000,160,47,1,0.631,0.141,0.222,0.006
200,400,200,1000,170,47,0,0.992,0,0.008,0
200,400,200,1000,170,47,1,0.904,0.058,0.038,0
200,400,300,400,130,47,0,0.03,0.381,0.551,0.038
200,400,300,400,130,47,1,0,0.769,0.226,0.005
200,400,300,400,140,47,0,0.376,0.071,0.462,0.091
200,400,300,400,140,47,1,0.137,0.291,0.495,0.077
200,400,300,400,150,47,0,0.914,0.004,0.068,0.014
200,400,300,400,150,47,1,0.691,0.062,0.212,0.035
200,400,300,400,160,47,0,0.999,0,0.001,0
200,400,300,400,160,47,1,0.957,0.009,0.031,0.003
200,400,300,400,170,47,0,1,0,0,0
200,400,300,400,170,47,1,0.997,0.002,0.001,0
200,400,300,500,130,47,0,0.02,0.374,0.594,0.012
200,400,300,500,130,47,1,0.003,0.774,0.222,0.001
200,400,300,500,140,47,0,0.33,0.063,0.561,0.046
200,400,300,500,140,47,1,0.103,0.338,0.534,0.025
200,400,300,500,150,47,0,0.846,0.007,0.142,0.005
200,400,300,500,150,47,1,0.555,0.088,0.323,0.034
200,400,300,500,160,47,0,0.998,0.001,0.001,0
