iteration,hatchSuccess,hatchDays,neglect,maxNeglect,endEnergy_M,meanEnergy_M,varEnergy_M,endEnergy_F,meanEnergy_F,varEnergy_F,meanIncubation_M,varIncubation_M,numIncubation_M,meanForaging_M,varForaging_M,numForaging_M,meanIncubation_F,varIncubation_F,numIncubation_F,meanForaging_F,varForaging_F,numForaging_F,incubationMetabolism,foragingMetabolism,minEnergyThreshold,maxEnergyThreshold
101,1,31,0,0,203.232,157.86,1099.19,226.953,150.899,1332.33,1,0,15,1,0,15,1,0,16,1,0,15,10,2,15,80
102,1,31,0,0,173.877,145.643,572.663,213.873,141.335,1090.96,1,0,15,1,0,15,1,0,16,1,0,15,10,3,15,80
103,1,31,0,0,172.398,152.879,694.647,206.137,151.128,926.615,1,0,15,1,0,15,1,0,16,1,0,15,10,4,15,80
104,1,31,0,0,228.081,175.768,1574.78,176.223,131.713,577.032,1,0,15,1,0,15,1,0,16,1,0,15,10,5,15,80
105,1,31,0,0,172.849,145.59,710.445,140.549,114.564,219.844,1,0,15,1,0,15,1,0,16,1,0,15,10,6,15,80
106,1,31,0,0,154.568,132.703,387.004,129.73,106.241,215.624,1,0,15,1,0,15,1,0,16,1,0,15,10,7,15,80
107,1,31,0,0,101.516,103.904,53.9552,139.626,122.053,288.246,1,0,15,1,0,15,1,0,16,1,0,15,10,8,15,80
108,1,31,0,0,139.937,130.867,162.28,135.356,109.407,166.596,1,0,15,1,0,15,1,0,16,1,0,15,10,9,15,80
109,1,31,0,0,101.927,103.508,36.6221,100.085,95.4057,40.9759,1,0,15,1,0,15,1,0,16,1,0,15,10,10,15,80
110,1,31,0,0,61.7621,86.2318,167.574,89.1682,89.547,145.166,1.25,0.1875,12,1.27273,0.198347,11,1.25,0.1875,12,1.25,0.1875,12,10,11,15,80
111,1,31,0,0,49.6343,87.3676,195.97,94.0138,90.2013,184.637,1.25,0.6875,12,1.27273,0.743802,11,1.25,0.6875,12,1.25,0.6875,12,10,12,15,80
112,1,31,0,0,70.452,81.0328,301.086,32.8506,75.7273,341.595,1.44444,0.91358,9,1.66667,2.44444,9,1.6,2.24,10,1.44444,0.91358,9,10,13,15,80
113,1,31,0,0,77.0428,75.9098,238.668,25.5261,74.5456,292.395,1.625,0.984375,8,1.28571,0.489796,7,1.25,0.4375,8,1.625,0.984375,8,10,14,15,80
114,1,31,0,0,35.7052,73.3923,270.022,51.7468,64.1997,612.235,1.5,1.25,6,2.5,5.25,6,2.28571,4.77551,7,1.5,1.25,6,10,15,15,80
115,1,31,0,0,19.0001,62.8031,1328.65,18.2669,71.0195,343.224,2.5,6.58333,6,1.4,0.64,5,2.28571,5.91837,7,2.5,6.58333,6,10,16,15,80
116,0,31,8,8,52.5339,61.6637,751.833,86.8152,66.8993,396.157,2.4,5.44,5,2.25,4.6875,4,2,4,5,4,30.4,5,10,17,15,80
117,1,31,11,6,13.6228,58.7296,805.26,27.6728,40.2059,853.047,3.33333,10.8889,3,7.5,42.25,2,3.33333,10.8889,3,1,0,2,10,18,15,80
118,0,31,14,14,66.6849,50.1,417.927,42.2995,48.2608,776.606,3.5,6.25,2,2,0,1,3.33333,6.88889,3,3.5,6.25,2,10,19,15,80
119,0,31,21,21,67.6777,68.7861,79.2116,9.72902,26.087,988.12,1,0,1,nan,nan,0,4.5,12.25,2,1,0,1,10,20,15,80
120,0,31,13,12,30.3038,49.8788,1021.82,30.3642,38.6355,738.018,3,8,3,4.5,12.25,2,3,8,3,1,0,2,10,21,15,80
121,0,31,14,14,25.7856,40.4533,674.302,-21.458,30.0618,1956,4,4,2,1,0,1,3,8,3,4,4,2,10,22,15,80
122,0,31,20,20,-70.9562,1.73394,3053.3,-19.1011,31.7857,1053.8,4,9,2,2,0,1,1.5,0.25,2,1,0,1,10,23,15,80
123,0,31,19,19,-75.9437,10.7839,2831.14,-87.8332,-5.31191,2785.37,5,16,2,1,0,1,1,0,2,1,0,1,10,24,15,80
124,0,31,21,21,-63.5118,2.99823,2354.52,-72.1772,13.3575,2315.25,4,9,2,1,0,1,1,0,2,1,0,1,10,25,15,80
125,1,31,0,0,230.602,160.885,1526.31,233.611,156.534,1841.86,1,0,15,1,0,15,1,0,16,1,0,15,10,1,15,80
126,1,31,0,0,252.749,181.271,2057.83,213.242,142.512,1244.33,1,0,15,1,0,15,1,0,16,1,0,15,10,2,15,80
127,1,31,0,0,196.246,164.582,792.15,213.885,143.465,1233.2,1,0,15,1,0,15,1,0,16,1,0,15,10,3,15,80
128,1,31,0,0,214.853,157.409,1330.8,193.323,150.645,845.068,1,0,15,1,0,15,1,0,16,1,0,15,10,4,15,80
129,1,31,0,0,182.268,143.422,601.426,173.934,126.047,381.5,1,0,15,1,0,15,1,0,16,1,0,15,10,5,15,80
130,1,31,0,0,208.694,154.471,992.631,172.797,120.64,474.743,1,0,15,1,0,15,1,0,16,1,0,15,10,6,15,80
131,1,31,0,0,154.459,133.086,251.177,122.131,95.4395,95.4987,1,0,15,1,0,15,1,0,16,1,0,15,10,7,15,80
132,1,31,0,0,125.845,119.816,102.323,126.462,111.832,85.2046,1,0,15,1,0,15,1,0,16,1,0,15,10,8,15,80
133,1,31,0,0,128.908,112.608,115.42,138.741,105.945,159.533,1,0,15,1,0,15,1,0,16,1,0,15,10,9,15,80
134,1,31,0,0,100.771,102.3,31.0694,114.54,101.497,70.9649,1,0,15,1,0,15,1,0,16,1,0,15,10,10,15,80
135,1,31,0,0,75.7701,93.529,66.0408,103.619,98.5965,35.5773,1,0,15,1,0,15,1,0,16,1,0,15,10,11,15,80
136,1,31,0,0,64.6756,95.5509,400.486,69.5824,88.2327,87.2791,1.15385,0.284024,13,1,0,12,1,0,13,1.15385,0.284024,13,10,12,15,80
137,1,31,0,0,23.7959,76.3896,383.361,65.9922,71.3397,711.345,1.66667,3.55556,9,1.875,5.35938,8,1.77778,4.83951,9,1,0,8,10,13,15,80
138,1,31,0,0,43.6778,72.5339,751.88,44.3412,71.0053,293.126,2.14286,4.12245,7,1.66667,2.22222,6,1.57143,1.95918,7,2.14286,4.12245,7,10,14,15,80
139,1,31,3,3,64.6955,68.3394,580.101,20.4778,66.2752,633.267,2,2.33333,6,1.2,0.16,5,2.28571,7.63265,7,2,2.33333,6,10,15,15,80
140,1,31,3,2,51.2891,60.7005,734.183,13.2738,61.3836,492.08,2.4,7.84,5,2,3,4,2.66667,5.88889,6,2.8,12.96,5,10,16,15,80
141,1,31,6,5,31.3481,46.032,1072.53,11.4307,56.9231,515.318,3.33333,10.8889,3,3.5,6.25,2,3.75,7.6875,4,5,32,3,10,17,15,80
142,0,31,12,9,6.59166,59.3121,505.702,42.0403,39.1994,691.571,3.33333,6.88889,3,8.5,56.25,2,3,8,3,1.5,0.25,2,10,18,15,80
143,0,31,16,16,58.9675,58.5267,380.666,25.6575,40.3251,1038.72,1.66667,0.888889,3,1,0,2,2.5,6.75,4,1.66667,0.888889,3,10,19,15,80
144,0,31,19,19,17.5942,31.366,989.734,59.0335,69.8199,118.464,3,8,3,1,0,2,1,0,3,1,0,2,10,20,15,80
145,0,31,13,13,18.6375,30.2965,855.724,17.4413,45.6481,1019.62,4.5,12.25,2,1,0,1,3,8,3,4.5,12.25,2,10,21,15,80
146,0,31,20,20,21.6428,52.8966,594.297,-58.3878,8.89493,2214.18,1,0,2,1,0,1,3,8,3,1,0,2,10,22,15,80
147,0,31,22,22,12.9994,21.2775,922.515,-16.6892,22.7871,1274.52,8,0,1,nan,nan,0,1,0,1,nan,nan,0,10,23,15,80
148,0,31,21,21,-43.6781,18.9901,2133.23,-87.6876,-6.60406,3142.21,2,0,1,nan,nan,0,4,9,2,2,0,1,10,24,15,80
149,0,31,20,20,-59.2058,6.78012,2474.92,-58.9282,13.1306,2115.34,4.5,12.25,2,1,0,1,1,0,2,1,0,1,10,25,15,80
150,1,31,0,0,240.251,173.257,2215.17,255.801,165.638,2267.42,1,0,15,1,0,15,1,0,16,1,0,15,10,1,15,80
151,1,31,0,0,198.21,159.179,800.848,212.991,150.256,1597.58,1,0,15,1,0,15,1,0,16,1,0,15,10,2,15,80
152,1,31,0,0,205.649,145.157,1100.21,231.425,158.694,1827.15,1,0,15,1,0,15,1,0,16,1,0,15,10,3,15,80
153,1,31,0,0,188.996,153,715.09,191.248,136.376,931.476,1,0,15,1,0,15,1,0,16,1,0,15,10,4,15,80
154,1,31,0,0,181.039,147.935,537.15,171.596,130.107,492.35,1,0,15,1,0,15,1,0,16,1,0,15,10,5,15,80
